ROW	COL	DIFF %
200	200	-0.095369831
200	400	-0.052580667
200	600	-0.044565651
200	800	-0.070365249
200	1000	-0.08492961
400	200	-0.034723172
400	400	-0.048266855
400	600	-0.051963586
400	800	-0.052230423
400	1000	-0.056704629
600	200	-0.034829585
600	400	-0.046848467
600	600	-0.055362066
600	800	-0.042147443
600	1000	-0.074973369
800	200	-0.047949834
800	400	-0.039732229
800	600	-0.022902147
800	800	-0.063744132
800	1000	-0.078541939
1000	200	-0.071999838
1000	400	-0.057060655
1000	600	-0.048557037
1000	800	-0.068901878
1000	1000	-0.092539935